id,english,russian,italian
1,"Mathematicians won the war. Mathematicians broke the Japanese codes and built the A-bomb. Mathematicians, like you.","Математики выигрывают войны. Математики взламывают японские коды... и строят атомные бомбы. Математики, такие же как вы.","Sono stati i matematici a vincere la guerra. Sono stati i matematici a decifrare i codici giapponesi... e a costruire la bomba atomica. Matematici, come voi."
2,Mathematics... Mathematics is never going to lead you to a higher truth. And you know why? Because it's boring. It's really boring.,Математики-- Математики не научат тебя жить. И знаешь почему? Потому что они скучные.,La matematica... La matematica non ti svelerà mai una verità superiore. E sai perché? Perché è noiosa. Davvero noiosa.
3,"Great deeds come at great cost, Mr. Parcher. Conviction, it turns out, is a luxury of those on the sidelines, Mr. Nash.","Великие дела стоят великих жертв, мистер Парчер. Убеждение является лишь довеском к сделанному делу, мистер Нэш.","Le grandi imprese si pagano care, signor Parcher. Solo chi rimane in disparte può permettersi di condannare, signor Nash."
4,Listen. If we can't break the ice how about we drown it?,"Послушай, раз уж мы не можем найти общий язык. То почему бы нам его не промочить?","Senti. Se non possiamo rompere il ghiaccio, che ne dici di affogarlo con questa?"
5,"The company's broke. No one comes to see her anymore. Uh, nobody actually comes to see ballet, full stop.",Уходя уходи. Кому она теперь нужна? Кому сейчас вообще нужен балет?,"La compagnia e' sciolta. Nessuno viene piu' a vederci. Oh, nessuno viene piu' a vedere il balletto in generale..."
6,"I called the theater, and I told them you weren't feeling well. I have to go.","Я позвонила в театр и сказала, что тебе не здоровится. Я должна идти!",Ho chiamato in teatro e ho detto loro che non ti senti bene. Devo andare!
7,"Anna, go back to sleep. I just can't. The sky is awake, so I'm awake.","Анна, иди спать. Я не могу. Небеса проснулись и я проснулась, поэтому мы должны играть!","Anna, torna a dormire. Non ci riesco. Il cielo è sveglio, perciò sono sveglia."
8,"When I think of my wife, I always think of her head. I picture cracking her lovely skull, unspooling her brains, trying to get answers. The primal questions of any marriage.","Представлять образ своей жены... я всегда начинаю с головы. Я воображаю, как вскрываю её обворожительный череп... и разматываю её извилины... пытаясь выловить ответы. На главные вопросы любого брака.","Quando penso a mia moglie, penso sempre alla sua testa. Immagino di rompere quello splendido cranio per srotolarle il cervello e ottenere delle risposte. Alle domande fondamentali di qualunque matrimonio."
9,"Archeology is the search for fact... not truth. If it's truth you're interested in, Dr. Tyree's philosophy class is right down the hall.","Археология - это поиски фактов... а не истины. Если вас интересует истина, кафедра философии чуть дальше.","L'archeologia ricerca i fatti... non la verità. Se siete interessati alla verità, il corso di filosofia si tiene in fondo al corridoio."
10,"All right, fire them up! We go live in five! It's time for ignition and straight automobile pimping.","Ладно, завести моторы! Старт через пять минут! Кончайте наводить блеск, надо ехать.","Forza, accendete i motori amici! Cinque minuti e andiamo in diretta! Dategli l'ultima lucidata e preparatevi al decollo."
