
=== Processing text ===
L'IA presenta, accanto a molti utilizzi benefici, la possibilità di essere utilizzata impropriamente e di fornire strumenti nuovi e potenti per pratiche di manipolazione, sfruttamento e controllo sociale. Tali pratiche sono particolarmente dannose e abusive e dovrebbero essere vietate poiché sono contrarie ai valori dell'Unione relativi al rispetto della dignità umana, alla libertà, all'uguaglianza, alla democrazia e allo Stato di diritto e ai diritti fondamentali sanciti dalla Carta, compresi il diritto alla non discriminazione, alla protezione dei dati e alla vita privata e i diritti dei minori.


Tokenization details:
Token           | Text                 | Start | End   | SHAP Value  
----------------------------------------------------------------------
                | ''                   | 0     | 0     | -0.000013
L               | 'L'                  | 0     | 1     | -0.000013
'               | "'"                  | 1     | 2     | -0.000013
IA              | 'IA'                 | 2     | 4     | +0.000264
presenta        | 'presenta'           | 5     | 13    | +0.000264
,               | ','                  | 13    | 14    | +0.000264
accanto         | 'accanto'            | 15    | 22    | +0.003887
a               | 'a'                  | 23    | 24    | +0.002724
molti           | 'molti'              | 25    | 30    | -0.001338
ut              | 'ut'                 | 31    | 33    | -0.000579
ili             | 'ili'                | 33    | 36    | -0.000579
zzi             | 'zzi'                | 36    | 39    | -0.000579
bene            | 'bene'               | 40    | 44    | -0.014491
fici            | 'fici'               | 44    | 48    | -0.013737
,               | ','                  | 48    | 49    | +0.003238
la              | 'la'                 | 50    | 52    | -0.000516
possibilità     | 'possibilità'        | 53    | 64    | -0.000516
di              | 'di'                 | 65    | 67    | -0.000516
essere          | 'essere'             | 68    | 74    | -0.000516
utilizzata      | 'utilizzata'         | 75    | 85    | -0.000516
im              | 'im'                 | 86    | 88    | +0.012143
pro             | 'pro'                | 88    | 91    | +0.012143
pri             | 'pri'                | 91    | 94    | +0.012143
amente          | 'amente'             | 94    | 100   | +0.012143
e               | 'e'                  | 101   | 102   | +0.003970
di              | 'di'                 | 103   | 105   | +0.003970
for             | 'for'                | 106   | 109   | +0.003970
nire            | 'nire'               | 109   | 113   | +0.003970
strumenti       | 'strumenti'          | 114   | 123   | -0.005692
nuovi           | 'nuovi'              | 124   | 129   | -0.005692
e               | 'e'                  | 130   | 131   | -0.005692
pot             | 'pot'                | 132   | 135   | -0.001960
enti            | 'enti'               | 135   | 139   | -0.001960
per             | 'per'                | 140   | 143   | -0.001960
pra             | 'pra'                | 144   | 147   | +0.001565
tiche           | 'tiche'              | 147   | 152   | +0.001565
di              | 'di'                 | 153   | 155   | +0.001565
mani            | 'mani'               | 156   | 160   | +0.001565
pola            | 'pola'               | 160   | 164   | +0.001565
zione           | 'zione'              | 164   | 169   | +0.001565
,               | ','                  | 169   | 170   | +0.001565
s               | 's'                  | 171   | 172   | +0.002631
fr              | 'fr'                 | 172   | 174   | +0.002631
utta            | 'utta'               | 174   | 178   | +0.003431
mento           | 'mento'              | 178   | 183   | +0.003431
e               | 'e'                  | 184   | 185   | -0.000107
controllo       | 'controllo'          | 186   | 195   | -0.000107
sociale         | 'sociale'            | 196   | 203   | -0.000107
.               | '.'                  | 203   | 204   | -0.011167
Tal             | 'Tal'                | 205   | 208   | -0.000555
i               | 'i'                  | 208   | 209   | -0.000555
pra             | 'pra'                | 210   | 213   | -0.000202
tiche           | 'tiche'              | 213   | 218   | -0.000202
sono            | 'sono'               | 219   | 223   | +0.011949
particolarmente  | 'particolarmente'    | 224   | 239   | +0.011949
danno           | 'danno'              | 240   | 245   | +0.067727
se              | 'se'                 | 245   | 247   | +0.044031
e               | 'e'                  | 248   | 249   | +0.027600
abu             | 'abu'                | 250   | 253   | +0.028963
sive            | 'sive'               | 253   | 257   | +0.028963
e               | 'e'                  | 258   | 259   | +0.022150
do              | 'do'                 | 260   | 262   | -0.001050
vre             | 'vre'                | 262   | 265   | -0.001050
bber            | 'bber'               | 265   | 269   | -0.001051
o               | 'o'                  | 269   | 270   | -0.001051
essere          | 'essere'             | 271   | 277   | +0.002249
vieta           | 'vieta'              | 278   | 283   | +0.002249
te              | 'te'                 | 283   | 285   | +0.002249
poiché          | 'poiché'             | 286   | 292   | +0.008532
sono            | 'sono'               | 293   | 297   | +0.008532
contrari        | 'contrari'           | 298   | 306   | +0.017478
e               | 'e'                  | 306   | 307   | +0.017478
ai              | 'ai'                 | 308   | 310   | +0.000050
valori          | 'valori'             | 311   | 317   | +0.000050
dell            | 'dell'               | 318   | 322   | +0.000050
'               | "'"                  | 322   | 323   | +0.000050
Unione          | 'Unione'             | 323   | 329   | +0.000050
relativ         | 'relativ'            | 330   | 337   | +0.000418
i               | 'i'                  | 337   | 338   | +0.000418
al              | 'al'                 | 339   | 341   | +0.000418
rispetto        | 'rispetto'           | 342   | 350   | +0.000418
della           | 'della'              | 351   | 356   | +0.000418
dig             | 'dig'                | 357   | 360   | +0.000945
nità            | 'nità'               | 360   | 364   | +0.000945
umana           | 'umana'              | 365   | 370   | +0.000945
,               | ','                  | 370   | 371   | +0.000945
alla            | 'alla'               | 372   | 376   | +0.005030
libertà         | 'libertà'            | 377   | 384   | +0.005030
,               | ','                  | 384   | 385   | +0.005030
all             | 'all'                | 386   | 389   | +0.003767
'               | "'"                  | 389   | 390   | +0.003767
ug              | 'ug'                 | 390   | 392   | +0.003767
ua              | 'ua'                 | 392   | 394   | +0.003767
glia            | 'glia'               | 394   | 398   | +0.003767
nza             | 'nza'                | 398   | 401   | +0.003767
,               | ','                  | 401   | 402   | +0.004468
alla            | 'alla'               | 403   | 407   | +0.003042
demo            | 'demo'               | 408   | 412   | +0.003042
crazia          | 'crazia'             | 412   | 418   | +0.003042
e               | 'e'                  | 419   | 420   | +0.003042
allo            | 'allo'               | 421   | 425   | +0.003042
Stato           | 'Stato'              | 426   | 431   | +0.003042
di              | 'di'                 | 432   | 434   | +0.003042
diritto         | 'diritto'            | 435   | 442   | +0.003906
e               | 'e'                  | 443   | 444   | +0.003906
ai              | 'ai'                 | 445   | 447   | +0.003906
diritti         | 'diritti'            | 448   | 455   | +0.003906
fonda           | 'fonda'              | 456   | 461   | +0.003090
mentali         | 'mentali'            | 461   | 468   | +0.003090
san             | 'san'                | 469   | 472   | +0.003090
citi            | 'citi'               | 472   | 476   | +0.003090
dalla           | 'dalla'              | 477   | 482   | +0.004700
Carta           | 'Carta'              | 483   | 488   | +0.004700
,               | ','                  | 488   | 489   | +0.004700
com             | 'com'                | 490   | 493   | +0.001575
presi           | 'presi'              | 493   | 498   | +0.001575
il              | 'il'                 | 499   | 501   | +0.001575
diritto         | 'diritto'            | 502   | 509   | +0.001575
alla            | 'alla'               | 510   | 514   | +0.001575
non             | 'non'                | 515   | 518   | +0.001575
disc            | 'disc'               | 519   | 523   | +0.001575
rimi            | 'rimi'               | 523   | 527   | +0.001575
nazione         | 'nazione'            | 527   | 534   | +0.001575
,               | ','                  | 534   | 535   | +0.001575
alla            | 'alla'               | 536   | 540   | +0.000736
protezione      | 'protezione'         | 541   | 551   | +0.000736
dei             | 'dei'                | 552   | 555   | +0.000736
dati            | 'dati'               | 556   | 560   | +0.000736
e               | 'e'                  | 561   | 562   | +0.000736
alla            | 'alla'               | 563   | 567   | +0.000736
vita            | 'vita'               | 568   | 572   | +0.000736
privata         | 'privata'            | 573   | 580   | +0.000736
e               | 'e'                  | 581   | 582   | +0.000736
i               | 'i'                  | 583   | 584   | +0.000736
diritti         | 'diritti'            | 585   | 592   | +0.000736
